sch_num,School_Name,dep,quota
SCH11400001,國立臺灣大學,大氣科學系,1
SCH11400002,國立臺灣大學,化學系,5
SCH11400003,國立臺灣大學,生化科技學系,0
SCH11400004,國立臺灣大學,生命科學系,0
SCH11400005,國立臺灣大學,生物產業傳播暨發展學系,0
SCH11400006,國立臺灣大學,生物環境系統工程學系,0
SCH11400007,國立臺灣大學,地理環境資源學系,1
SCH11400008,國立臺灣大學,地質科學系,1
SCH11400009,國立臺灣大學,昆蟲學系,2
SCH11400010,國立臺灣大學,物理學系,5
SCH11400011,國立臺灣大學,社會學系,1
SCH11400012,國立臺灣大學,動物科學技術學系,1
SCH11400013,國立臺灣大學,國際體育運動事務學士學位學程,0
SCH11400014,國立臺灣大學,森林環境暨資源學系,4
SCH11400015,國立臺灣大學,無組別,50
SCH11400016,國立臺灣大學,園藝暨景觀學系,1
SCH11400017,國立臺灣大學,經濟學系,3
SCH11400018,國立臺灣大學,農業經濟學系,1
SCH11400019,國立臺灣大學,農藝學系,1
SCH11400020,國立臺灣大學,數學系,11
SCH11400021,國立臺灣大學,資訊工程學系,0
SCH11400022,國立臺灣師範大學,公民教育與活動領導學系,0
SCH11400023,國立臺灣師範大學,化學系,5
SCH11400024,國立臺灣師範大學,幼兒與家庭科學學系家庭生活與教育組,0
SCH11400025,國立臺灣師範大學,生命科學系,0
SCH11400026,國立臺灣師範大學,光電工程學士學位學程,0
SCH11400027,國立臺灣師範大學,地球科學系,4
SCH11400028,國立臺灣師範大學,地理學系,2
SCH11400029,國立臺灣師範大學,物理學系,2
SCH11400030,國立臺灣師範大學,社會教育學系,4
SCH11400031,國立臺灣師範大學,表演藝術學士學位學程,0
SCH11400032,國立臺灣師範大學,科技應用與人力資源發展學系,0
SCH11400033,國立臺灣師範大學,美術學系,2
SCH11400034,國立臺灣師範大學,英語學系,3
SCH11400035,國立臺灣師範大學,音樂學系,0
SCH11400036,國立臺灣師範大學,國文學系,0
SCH11400037,國立臺灣師範大學,教育學院學士班,0
SCH11400038,國立臺灣師範大學,華語文教學系應用華語文學組,0
SCH11400039,國立臺灣師範大學,資訊工程學系,0
SCH11400040,國立臺灣師範大學,資訊工程學系,0
SCH11400041,國立臺灣師範大學,電機工程學系,0
SCH11400042,國立臺灣師範大學,數學系,5
SCH11400043,國立中興大學,土木工程學系,0
SCH11400044,國立中興大學,土壤環境科學系,0
SCH11400045,國立中興大學,中國文學系,0
SCH11400046,國立中興大學,化學工程學系,0
SCH11400047,國立中興大學,化學系,2
SCH11400048,國立中興大學,水土保持學系,0
SCH11400049,國立中興大學,外國語文學系,0
SCH11400050,國立中興大學,生命科學系,0
SCH11400051,國立中興大學,生物科技學士學位學程,0
SCH11400052,國立中興大學,生物產業機電工程學系,0
SCH11400053,國立中興大學,行銷學系,0
SCH11400054,國立中興大學,材料科學與工程學系,0
SCH11400055,國立中興大學,昆蟲學系,3
SCH11400056,國立中興大學,法律學系,2
SCH11400057,國立中興大學,物理學系一般物理組,0
SCH11400058,國立中興大學,物理學系光電物理組,2
SCH11400059,國立中興大學,食品暨應用生物科技學系,0
SCH11400060,國立中興大學,動物科學系,3
SCH11400061,國立中興大學,國際農企業學士學位學程,0
SCH11400062,國立中興大學,景觀與遊憩學士學位學程,0
SCH11400063,國立中興大學,森林學系林學組,1
SCH11400064,國立中興大學,森林學系木材科學組,0
SCH11400065,國立中興大學,植物病理學系,2
SCH11400066,國立中興大學,園藝學系,2
SCH11400067,國立中興大學,資訊工程學系,0
SCH11400068,國立中興大學,資訊工程學系,0
SCH11400069,國立中興大學,農藝學系,2
SCH11400070,國立中興大學,電機工程學系,0
SCH11400071,國立中興大學,電機資訊學院學士班,0
SCH11400072,國立中興大學,機械工程學系,0
SCH11400073,國立中興大學,應用經濟學系,0
SCH11400074,國立中興大學,應用數學系應用數學組,0
SCH11400075,國立中興大學,應用數學系數據科學與計算組,0
SCH11400076,國立中興大學,應用數學系數據科學與計算組,0
SCH11400077,國立中興大學,環境工程學系,0
SCH11400078,國立中興大學,獸醫學系,3
SCH11400079,國立成功大學,化學系,2
SCH11400080,國立成功大學,台灣文學系,0
