Sch_num,School,p_type,Department,Region,address,Disc_Cluster,requirement,Exam_Item,Talent,Quota,exam_date,Contact,link,note
SCH11400001,國立臺灣大學,國立,大氣科學系,北區,臺北市大安區羅斯福路四段1號,地球與環境學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系審查資料後，評定為符合口試資格者。)",地理能力、化學能力、觀察力、英文能力,1,2024/12/10,林明昌 / (02)33663923,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400002,國立臺灣大學,國立,化學系,北區,臺北市大安區羅斯福路四段1號,數理化學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",化學能力、數學能力、實驗能力、英文能力,5,2024/12/07,許慧楨 / (02)33661143,https://www.ch.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400003,國立臺灣大學,國立,生化科技學系,北區,臺北市大安區羅斯福路四段1號,其他學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系審查資料後，評定為符合口試資格者。)",基礎學科能力、溝通能力、表達能力、學習能力,2,2024/12/07,林雅玲 / (02)33664456,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400004,國立臺灣大學,國立,生命科學系,北區,臺北市大安區羅斯福路四段1號,其他學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",基礎學科能力、溝通能力、表達能力、學習能力,8,2024/12/07,黃雅倫 / (02)33662495,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400005,國立臺灣大學,國立,生物產業傳播暨發展學系,北區,臺北市大安區羅斯福路四段1號,生命科學學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:40%(就所繳資料加以審查後決定可參加口試之名單。)
口試:60%(通過本學系審查資料後，評定為符合口試資格者。)",生物能力、化學能力、實驗能力、英文能力,1,2024/12/09,劉宇誠 / (02)33664422,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400006,國立臺灣大學,國立,生物環境系統工程學系,北區,臺北市大安區羅斯福路四段1號,生命科學學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:30%(就所繳資料加以審查後決定可參加口試之名單。)
口試:70%(通過本學系審查資料後，評定為符合口試資格者。)",生物能力、化學能力、實驗能力、英文能力,2,2024/12/05,廖泓韻 / (02)33663444,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400007,國立臺灣大學,國立,地理環境資源學系,北區,臺北市大安區羅斯福路四段1號,地球與環境學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:50%(就所繳資料加以審查後決定可參加口試之名單。)
口試:50%(通過本學系審查資料後，評定為符合口試資格者。)",地理能力、化學能力、觀察力、英文能力,1,2024/12/07,彭云 / (02)33665821,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400008,國立臺灣大學,國立,地質科學系,北區,臺北市大安區羅斯福路四段1號,地球與環境學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",地理能力、化學能力、觀察力、英文能力,3,2024/12/07,廖子文 / (02)33669475,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400009,國立臺灣大學,國立,昆蟲學系,北區,臺北市大安區羅斯福路四段1號,生物資源學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",生物能力、化學能力、實驗能力、觀察力,2,2024/11/29,何筱嬋 / (02)33665582,https://www.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
SCH11400010,國立臺灣大學,國立,物理學系,北區,臺北市大安區羅斯福路四段1號,數理化學群,特殊才能 不同教育資歷： 1.實驗教育學生,"審查:0%(就所繳資料加以審查後決定可參加口試之名單。)
口試:100%(通過本學系審查資料後，評定為符合口試資格者。)",物理能力、數學能力、邏輯推理、英文能力,10,2024/12/15,胡靚 / (02)33665122、33665123,https://www.phys.ntu.edu.tw/,"【備註】詳細日程請以簡章公告為主

【計畫類別】特殊選才"
